Unnamed: 0,duration,original_sr,suspicious_diff,min amplitude,max amplitude,max_magnitude1,max_magnitude2,max_magnitude3,min_magnitude1,min_magnitude2,min_magnitude3,RTP_ssrc,RTP_payload_length,Flushed_packets,isMalicious,Lost_packets_count,Lost_packets_precentage
80,127.972517,8000,TRUE,-1.164948583,0.6799438,155.7848969,149.4984589,140.6878815,9.41E-13,2.56E-12,2.84E-12,2280490962,160,6423,FALSE,0,0
81,136.772517,8000,TRUE,-1.16489923,0.679969668,57.96123886,54.55762863,53.79909515,1.13E-12,2.68E-12,4.22E-12,846180748,160,6863,FALSE,0,0
82,119.9485261,8000,TRUE,-0.435975254,0.761501074,301.6690674,299.6717834,298.8276062,1.77E-11,6.89E-11,7.30E-11,2137348904,160,6000,FALSE,0,0
83,120.2702948,8000,TRUE,-0.508146226,0.67592299,380.6786499,359.9971619,335.9230042,1.79E-11,2.13E-11,2.95E-11,2133258545,160,6014,FALSE,0,0
84,118.692517,8000,TRUE,-1.164909601,0.679899037,72.61535645,67.2546463,65.83597565,2.33E-13,2.22E-12,4.64E-12,1389701553,160,5959,FALSE,0,0
85,115.5995011,8000,TRUE,-0.429273099,0.758194506,314.1470337,303.5429993,301.6690674,3.67E-11,3.84E-11,6.11E-11,142421331,160,5782,FALSE,0,0
86,1.42,8000,FALSE,-0.476876229,0.612490892,317.433197,314.4564819,297.8348999,2.54E-08,2.82E-08,2.85E-08,1231117005,160,71,FALSE,0,0
87,67.78,8000,TRUE,-0.471472204,0.447657526,255.3819885,245.1778259,183.5224915,3.57E-12,6.88E-12,7.00E-12,1628544973,160,3389,FALSE,0,0
88,2.360544218,8000,FALSE,-0.476876229,0.612490892,317.433197,314.4564819,297.8348999,6.92E-09,1.93E-08,2.35E-08,99678986,4,119,FALSE,0,0
89,67.58,8000,TRUE,-0.471472204,0.447657526,255.3819885,245.1778259,183.5224915,3.57E-12,6.88E-12,7.00E-12,415417606,160,3379,FALSE,0,0
90,85.84,8000,TRUE,-0.2552481,0.260293543,118.905777,112.0955353,111.9657288,3.73E-12,7.10E-12,8.53E-12,3478128686,160,4292,FALSE,0,0
91,85.68,8000,TRUE,-0.196047589,0.231646121,96.63470459,93.7861557,92.74571991,1.28E-11,4.25E-11,4.63E-11,637727252,160,4284,FALSE,0,0
92,85.62,8000,TRUE,-0.2552481,0.260293543,118.905777,112.0955353,111.9657288,3.73E-12,7.10E-12,8.53E-12,641842600,160,4281,FALSE,0,0
93,85.28,8000,TRUE,-0.196047589,0.231646121,96.63470459,93.7861557,92.74571991,1.28E-11,4.25E-11,4.63E-11,186865489,160,4264,FALSE,0,0
94,248.92,8000,TRUE,-0.099139012,0.100034274,59.24393845,55.49518204,54.84709167,7.73E-12,9.52E-12,1.22E-11,731823970,160,12446,FALSE,0,0
95,248.38,8000,TRUE,-0.099139012,0.100034274,59.24393845,55.49518204,54.84709167,7.73E-12,9.52E-12,1.22E-11,2035124978,160,12419,FALSE,0,0
96,85.84,8000,TRUE,-0.2552481,0.260293543,118.905777,112.0955353,111.9657288,3.73E-12,7.10E-12,8.53E-12,3478128686,160,4292,FALSE,0,0
97,85.28,8000,TRUE,-0.196047589,0.231646121,96.63470459,93.7861557,92.74571991,1.28E-11,4.25E-11,4.63E-11,186865489,160,4264,FALSE,0,0
